contest_id,finite_precision_probability,posterior_draws
10200,0.3705,2000
10684,0.481,2000
13333,0.0,2000
14242,0.0,2000
14420,0.0,2000
18045,0.0,4000
19018,0.0,4000
19991,0.0,2000
20270,0.0,2000
21669,0.0,2000
22962,0.0,2000
23249,0.0,2000
23652,0.0,2000
2445,0.0,2000
2454,0.6055,2000
2464,0.0,2000
2478,0.0,2000
2489,0.0,2000
2549,0.2765,2000
2551,0.0,2000
2667,0.0,2000
2749,0.001,2000
2762,0.0,2000
2860,0.0,2000
3064,0.0005,2000
3080,0.0,4000
3288,0.0,2000
3338,0.0,2000
3353,0.0,2000
3366,0.369,2000
3507,0.0,2000
3509,0.0,2000
3526,0.0,2000
3641,0.0,4000
37077,0.0,2000
3774,0.0,2000
3800,0.0095,2000
38128,0.0,2000
38760,0.0,2000
3926,0.0,2000
3928,0.0,2000
3929,0.0,2000
3960,0.0,4000
4104,0.0,2000
4366,0.0,2000
4407,0.0,2000
4453,0.0,2000
4477,0.139,2000
4488,0.0,2000
4493,0.0,2000
4657,0.0,4000
4699,0.0,4000
4986,0.0,4000
5056,0.0,2000
5144,0.0,2000
5174,0.0,4000
5229,0.0,2000
5261,0.0,2000
5357,0.0,2000
5390,0.0,2000
5497,0.0,2000
6322,0.0,4000
6927,0.0,2000
7115,0.0,4000
7162,0.0,2000
7634,0.0,2000
7878,0.0,2000
8076,0.0,2000
8078,0.0,2000
8219,0.0,2000
8396,0.0015,2000
9120,0.0,4000
9949,0.24,2000
