contest_id,rank_2_team_id,rank_3_team_id,rank_2_private_rank,rank_3_private_rank,rank_2_submissions,rank_3_submissions,output_created
2445,3106,2394,3,4,19,41,True
2454,2973,1418,2,4,13,38,True
2464,1490,2614,2,3,60,17,True
2478,3214,3060,3,4,23,14,True
2489,3862,3822,3,4,9,28,True
2549,7198,7201,2,3,10,17,True
2551,7020,7663,2,4,30,33,True
2667,12344,12442,2,3,59,67,True
2749,15630,17171,2,4,22,7,True
2762,13510,13974,2,14,6,14,True
2860,17090,18085,5,9,18,8,True
3064,22346,22315,2,10,16,8,True
3080,22628,21944,2,3,27,14,True
3288,32697,33459,2,3,12,17,True
3338,52473,48676,2,3,29,45,True
3353,37874,35709,3,4,11,17,True
3366,41042,42344,2,3,20,21,True
3507,44431,43356,2,4,14,24,True
3509,42947,43160,2,3,7,13,True
3526,56918,56790,2,3,17,9,True
3641,91495,93363,2,3,41,26,True
3774,80477,79544,2,3,26,11,True
3800,95347,106711,2,3,30,28,True
3926,96828,102582,2,3,48,20,True
3928,98812,99345,2,3,13,29,True
3929,107000,106745,2,3,31,20,True
3960,114534,122176,2,3,73,25,True
4104,172220,162885,2,3,31,28,True
4366,181000,180904,2,3,35,36,True
4407,191179,181821,2,3,16,51,True
4453,191724,195515,2,3,18,25,True
4477,207008,197772,2,3,11,42,True
4488,214835,217344,2,3,8,11,True
4493,207256,216799,2,3,15,21,True
4657,240141,236942,2,3,66,70,True
4699,255237,251587,2,4,38,22,True
4986,296065,286451,2,3,14,47,True
5056,320040,318701,3,5,18,37,True
5144,336381,345980,3,4,9,37,True
5174,321202,322707,2,3,57,62,True
5229,317536,327312,3,4,33,31,True
5261,357371,359884,2,3,45,38,True
5357,374979,375100,2,3,28,45,True
5390,370983,367416,2,3,18,17,True
5497,407790,390318,2,3,44,71,True
6322,623281,776206,2,3,47,53,True
6927,854123,843177,2,3,27,17,True
7115,917620,928461,2,3,56,32,True
7162,1028403,1008370,2,3,31,14,True
7634,1144938,1098323,2,3,33,44,True
7878,1663566,1752961,2,4,7,27,True
8076,1220340,1204139,2,3,29,58,True
8078,1218588,1226207,2,3,30,32,True
8219,1560126,1551462,2,3,23,44,True
8396,1421047,1390075,2,3,59,56,True
9120,1746650,1742143,2,3,87,46,True
9949,1844137,1845319,2,3,22,24,True
10200,2162247,2166867,2,3,25,25,True
10684,2849454,2630148,3,5,16,58,True
13333,3857541,3852592,2,3,12,25,True
14242,3412308,3415499,2,3,71,68,True
14420,3394520,3338942,2,3,25,58,True
18045,4533108,4454921,2,3,52,82,True
19018,4701612,4617532,2,3,67,71,True
19991,5163078,4977081,2,3,66,11,True
20270,4997066,5130911,2,3,16,29,True
21669,5942522,5907258,2,3,44,78,True
22962,8089823,8097839,2,3,18,66,True
23249,7035812,7187674,2,3,62,55,True
23652,6810240,6815252,2,3,24,27,True
37077,9241050,9358431,2,3,46,67,True
38128,9026173,9051179,2,3,52,53,True
38760,9390366,9390268,2,3,46,69,True
