contest_id,finite_precision_probability,posterior_draws
10200,0.59175,4000
10684,0.8375,4000
13333,0.00975,4000
14242,0.0,4000
14420,0.00025,4000
18045,0.0015,4000
19018,0.001,4000
19991,0.018,4000
20270,0.00825,4000
21669,0.001375,8000
22962,0.01875,4000
23249,0.0,4000
23652,0.0005,4000
2445,0.00225,4000
2454,0.7585,4000
2464,0.0,4000
2478,0.00025,4000
2489,0.00325,4000
2549,0.5075,4000
2551,0.0,4000
2667,0.0,4000
2749,0.0095,4000
2762,0.04275,4000
2860,0.001,4000
3064,0.02675,4000
3080,0.32775,4000
3288,0.00125,16000
3338,0.01825,4000
3353,0.0395,4000
3366,0.722,4000
3507,0.001,4000
3509,0.0,4000
3526,0.00175,4000
3641,0.0075,4000
37077,0.0,4000
3774,0.113,4000
3800,0.2,4000
38128,0.0,4000
38760,0.002,4000
3926,0.00975,4000
3928,0.2655,4000
3929,0.012,4000
3960,0.00475,4000
4104,0.0,4000
4366,0.0005,4000
4407,0.00775,4000
4453,0.00075,4000
4477,0.436,4000
4488,0.00375,4000
4493,0.0005,4000
4657,0.0,4000
4699,0.00075,4000
4986,0.0,4000
5056,0.0445,4000
5144,0.0,4000
5174,0.0,4000
5229,0.0,4000
5261,0.0,4000
5357,0.00025,4000
5390,0.00525,4000
5497,0.01,4000
6322,0.0005,4000
6927,0.0025,4000
7115,0.00175,8000
7162,0.00225,4000
7634,0.00275,4000
7878,0.0,4000
8076,0.094,4000
8078,0.0,4000
8219,0.00225,4000
8396,0.11325,4000
9120,0.0,4000
9949,0.633,4000
